song_name,track_spotify_id,spotify_track_link,thumbnail_link,artist_name,artist_id,artist_link,acousticness,danceability,duration_ms,energy,speechiness,tempo,time_signature,valence,key,instrumentalness,liveness,loudness,mode,Romantic Ballad,Dance Pop,Sad Ballad,Folk Fusion,Classical Fusion,Qawwali,Sufi,Party Anthem,Patriotic,Rock Fusion,Item Number,Lyrical Rap,Devotional,Ghazal,Retro,Comedy,Motivational,Wedding,Festival
Khalasi | Coke Studio Bharat,5LSAafg2oH9YPgf3EG17iw,https://open.spotify.com/track/5LSAafg2oH9YPgf3EG17iw,https://i.scdn.co/image/ab67616d0000b273a6f83b62be5e3dea563f6d79,Aditya Gadhvi,68BDWvc511MC0b6eAmH7gW,https://open.spotify.com/artist/68BDWvc511MC0b6eAmH7gW,0.444,0.78,258261.0,0.708,0.152,91.998,4.0,0.801,6.0,0.0,0.334,-8.515,0.0,,,,1.0,,,,,,,,,,,,,,,
"Satranga (From ""ANIMAL"")",3yHyiUDJdz02FZ6jfUbsmY,https://open.spotify.com/track/3yHyiUDJdz02FZ6jfUbsmY,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,0.735,0.273,271169.0,0.405,0.0298,89.48,3.0,0.534,0.0,0.0,0.189,-5.81,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,
Pehle Bhi Main,7yDHHVKLbvDmVw1XXhDDIO,https://open.spotify.com/track/7yDHHVKLbvDmVw1XXhDDIO,https://i.scdn.co/image/ab67616d0000b2735f3ede47954a93aa03efe5f9,Vishal Mishra,5wJ1H6ud777odtZl5gG507,https://open.spotify.com/artist/5wJ1H6ud777odtZl5gG507,0.768,0.413,250158.0,0.406,0.0353,76.944,4.0,0.281,10.0,2.22e-06,0.107,-10.23,0.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,
Jiya Lage Na,5AhxzlhZbKYfu4YNiUnmvx,https://open.spotify.com/track/5AhxzlhZbKYfu4YNiUnmvx,https://i.scdn.co/image/ab67616d0000b273e8acd7446270164f4806f9d2,Sona Mohapatra,5bv6NvAYNuvd2Vq13nHdG3,https://open.spotify.com/artist/5bv6NvAYNuvd2Vq13nHdG3,0.16,0.48,276607.0,0.601,0.0348,169.997,4.0,0.22,11.0,0.000491,0.131,-5.879,1.0,,,,1.0,,,,,,,,,,,,,,,
Tu Chahiye,3aaiAWCet6sbfOfLSn3g7i,https://open.spotify.com/track/3aaiAWCet6sbfOfLSn3g7i,https://i.scdn.co/image/ab67616d0000b273e7f1ff44b74df429307f4164,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.403,0.565,272680.0,0.744,0.0446,134.068,4.0,0.415,7.0,0.0,0.0853,-5.817,1.0,1.0,,,,,,,,,,,,,,,,,,
Sajdaa,395gJWcJQK0C3GJfHAn7f6,https://open.spotify.com/track/395gJWcJQK0C3GJfHAn7f6,https://i.scdn.co/image/ab67616d0000b2730b7a25dad85eb88ffb5f942d,Shankar-Ehsaan-Loy,0L5GV6LN8SWWUWIdBbTLTZ,https://open.spotify.com/artist/0L5GV6LN8SWWUWIdBbTLTZ,0.725,0.469,365707.0,0.737,0.0762,79.545,4.0,0.572,8.0,0.00272,0.0655,-7.274,1.0,1.0,,,,,,,,,,,,,,,,,,
Bulleya,0Bz7dfqPY4JOGZO3O1j8Wh,https://open.spotify.com/track/0Bz7dfqPY4JOGZO3O1j8Wh,https://i.scdn.co/image/ab67616d0000b273bca30634e6cad10b97c03d21,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.497,0.552,348966.0,0.769,0.0465,86.957,4.0,0.702,2.0,0.0,0.112,-4.504,0.0,,,,,,,1.0,,,,,,,,,,,,
"Yeh Vaada Raha - From ""Yeh Vaada Raha""",1RdbphD3jmSHy5o492kI2L,https://open.spotify.com/track/1RdbphD3jmSHy5o492kI2L,https://i.scdn.co/image/ab67616d0000b27315220eafd9e263d6155441c2,Kishore Kumar,0GF4shudTAFv8ak9eWdd4Y,https://open.spotify.com/artist/0GF4shudTAFv8ak9eWdd4Y,0.633,0.541,407293.0,0.68,0.0378,72.532,4.0,0.603,0.0,5.67e-05,0.17,-5.394,1.0,1.0,,,,,,,,,,,,,,,,,,
"Srivalli (From ""Pushpa The Rise Part - 01"")",7sVEoPc5ZUUQerRkgTypUZ,https://open.spotify.com/track/7sVEoPc5ZUUQerRkgTypUZ,https://i.scdn.co/image/ab67616d0000b2738074d75f0e453804efcec351,Javed Ali,4W91bbPB2CTSsHwt7eqNl7,https://open.spotify.com/artist/4W91bbPB2CTSsHwt7eqNl7,0.435,0.787,224072.0,0.603,0.034,106.984,4.0,0.743,9.0,0.0,0.101,-4.781,1.0,1.0,,,,,,,,,,,,,,,,,,
Duniya Mein Logon Ko,0fcRo9r4cFr93zuaIvuCPx,https://open.spotify.com/track/0fcRo9r4cFr93zuaIvuCPx,https://i.scdn.co/image/ab67616d0000b273cc6e670aec28339e966d5170,Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,https://open.spotify.com/artist/5as8A4G47Ohu9NSWs3Je8U,0.946,0.524,354293.0,0.513,0.0709,125.178,4.0,0.581,11.0,0.0203,0.466,-11.904,0.0,,,,,,,,,,,,,,,1.0,,,,
Jawani Jan-E-Man,6X4bexIzuwXBaqBTyRROB0,https://open.spotify.com/track/6X4bexIzuwXBaqBTyRROB0,https://i.scdn.co/image/ab67616d0000b2731d22e8e01d06770084572f54,Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,https://open.spotify.com/artist/5as8A4G47Ohu9NSWs3Je8U,0.624,0.752,335959.0,0.472,0.0945,130.983,4.0,0.557,7.0,1.27e-05,0.349,-7.757,1.0,,,,,,,,,,,,,,,1.0,,,,
"Jahan Teri Yeh Nazar Hai - From ""Kaalia""",6RY2fEKYTORAsKKpbky5Qt,https://open.spotify.com/track/6RY2fEKYTORAsKKpbky5Qt,https://i.scdn.co/image/ab67616d0000b273f8de0d159e74dee09f2c59e4,Kishore Kumar,0GF4shudTAFv8ak9eWdd4Y,https://open.spotify.com/artist/0GF4shudTAFv8ak9eWdd4Y,0.498,0.447,327080.0,0.589,0.0763,174.125,3.0,0.963,8.0,0.000458,0.0822,-9.435,1.0,,,,,,,,,,,,,,,1.0,,,,
Phir Milenge Chalte Chalte,00slEv0AYGnW85H84XsmGz,https://open.spotify.com/track/00slEv0AYGnW85H84XsmGz,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8,Salim–Sulaiman,6ohaQzKaXrobAL8paLSaxq,https://open.spotify.com/artist/6ohaQzKaXrobAL8paLSaxq,0.178,0.778,394162.0,0.737,0.195,125.031,4.0,0.9,0.0,6.83e-06,0.0632,-7.073,1.0,1.0,,,,,,,,,,,,,,,,,,
Deewana Hai Dekho,1CK7tnXhsr0Br5ZzbZdBzh,https://open.spotify.com/track/1CK7tnXhsr0Br5ZzbZdBzh,https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9,Sandesh Shandilya,6AwwLwgIsTIXZ8kHWaZUj5,https://open.spotify.com/artist/6AwwLwgIsTIXZ8kHWaZUj5,0.167,0.779,345267.0,0.792,0.174,103.009,4.0,0.593,7.0,1.92e-06,0.13,-5.619,1.0,,1.0,,,,,,,,,,,,,,,,,
You Are My Soniya,6SDH3mp9sQCNJDfDDpQTTo,https://open.spotify.com/track/6SDH3mp9sQCNJDfDDpQTTo,https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9,Sandesh Shandilya,6AwwLwgIsTIXZ8kHWaZUj5,https://open.spotify.com/artist/6AwwLwgIsTIXZ8kHWaZUj5,0.29,0.853,343613.0,0.784,0.0621,106.045,4.0,0.785,8.0,0.0,0.0589,-6.08,1.0,,1.0,,,,,,,,,,,,,,,,,
Mera Naam Chin Chin Chu,1yYe7uNAcv5WXipa67lH3G,https://open.spotify.com/track/1yYe7uNAcv5WXipa67lH3G,https://i.scdn.co/image/ab67616d0000b273666ce6be0a8ae1b55fb953bb,Geeta Dutt,0QsbYX8XslSSUcztc6u4pO,https://open.spotify.com/artist/0QsbYX8XslSSUcztc6u4pO,0.9,0.539,265387.0,0.904,0.185,103.931,4.0,0.782,0.0,0.034,0.59,-4.364,1.0,,,,,,,,,,,,,,,1.0,,,,
Dhinka Chika,2Ggpu9s4UP2fO7bjgBMiss,https://open.spotify.com/track/2Ggpu9s4UP2fO7bjgBMiss,https://i.scdn.co/image/ab67616d0000b2739f769025df6975a318f2b74a,Amrita Kak,4BTpn8TkJe0FnqlpTY1ZJ2,https://open.spotify.com/artist/4BTpn8TkJe0FnqlpTY1ZJ2,0.516,0.752,271900.0,0.978,0.23,82.988,4.0,0.804,0.0,0.0,0.32,-4.786,1.0,,,,,,,,1.0,,,,,,,,,,,
Ye Ladka Hay Allah Kaisa Hai Diwana,43vzwkho3DVRDhXyp79tOJ,https://open.spotify.com/track/43vzwkho3DVRDhXyp79tOJ,https://i.scdn.co/image/ab67616d0000b273b9c2d5169d45911d8f499f93,Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,https://open.spotify.com/artist/5as8A4G47Ohu9NSWs3Je8U,0.879,0.445,329720.0,0.423,0.0371,94.392,4.0,0.681,10.0,5.3e-05,0.183,-11.566,1.0,1.0,,,,,,,,,,,,,,,,,,
O Haseena Zulfonwale Jane Jahan,6kXGGT1zngi3GsxgCbxclU,https://open.spotify.com/track/6kXGGT1zngi3GsxgCbxclU,https://i.scdn.co/image/ab67616d0000b273c016607af0377c3e5cb92e5f,Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,https://open.spotify.com/artist/5as8A4G47Ohu9NSWs3Je8U,0.681,0.387,415237.0,0.649,0.0571,92.682,4.0,0.779,0.0,5.57e-06,0.3,-5.197,1.0,,,,,,,,,,,,,,,1.0,,,,
Aajkal Tere Mere Pyar Ke Charche,03HZm1iCO3y8GTFv7yobL3,https://open.spotify.com/track/03HZm1iCO3y8GTFv7yobL3,https://i.scdn.co/image/ab67616d0000b2737804ec2934d159e3c54e4b13,Suman Kalyanpur,3WWVo6WSgys8qpDq3OGVUn,https://open.spotify.com/artist/3WWVo6WSgys8qpDq3OGVUn,0.858,0.555,309493.0,0.792,0.0721,98.634,4.0,0.776,9.0,0.0072,0.596,-10.683,1.0,,,,,,,,,,,,,,,1.0,,,,
Uff,06g9b0J7o8tULKGPZm0wFK,https://open.spotify.com/track/06g9b0J7o8tULKGPZm0wFK,https://i.scdn.co/image/ab67616d0000b273058494835ee23ad6104f81f2,Harshdeep Kaur,3xU8YsNNkmWSPewlB18NUz,https://open.spotify.com/artist/3xU8YsNNkmWSPewlB18NUz,0.294,0.783,272112.0,0.671,0.064,141.996,4.0,0.651,5.0,0.0,0.134,-8.572,1.0,,1.0,,,,,,,,,,,,,,,,,
Faraatta,3qxLYSU1s5pqk8rz6dJNVi,https://open.spotify.com/track/3qxLYSU1s5pqk8rz6dJNVi,https://i.scdn.co/image/ab67616d0000b273e452a6e11147f3e56aee6f5b,Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O,0.192,0.705,195382.0,0.853,0.244,92.839,3.0,0.862,7.0,0.0,0.353,-5.805,1.0,,,,,,,,,,,,,,,,,,,
Chaleya,3xMHXmedL5Rvfxmiar9Ryv,https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv,https://i.scdn.co/image/ab67616d0000b273e452a6e11147f3e56aee6f5b,Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O,0.393,0.575,200374.0,0.845,0.0852,95.047,4.0,0.439,0.0,0.0107,0.131,-5.28,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,
"Gore Rang Pe Itna Gumaan Na Kar - From ""Roti""",6ISF8WtUVBrjXB1rL1PMFu,https://open.spotify.com/track/6ISF8WtUVBrjXB1rL1PMFu,https://i.scdn.co/image/ab67616d0000b2732d962e2bc3864a7ec9a218d9,Kishore Kumar,0GF4shudTAFv8ak9eWdd4Y,https://open.spotify.com/artist/0GF4shudTAFv8ak9eWdd4Y,0.794,0.407,291627.0,0.686,0.0725,76.975,4.0,0.855,10.0,0.0,0.109,-7.784,0.0,1.0,,,,,,,,,,,,,,,,,,
Woh Ek Nigah Kya Mili,4aq6YmUQY8ZRkD1AdFXKJx,https://open.spotify.com/track/4aq6YmUQY8ZRkD1AdFXKJx,https://i.scdn.co/image/ab67616d0000b2735bbe8a97c12e306a88452423,Lata Mangeshkar,61JrslREXq98hurYL2hYoc,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,0.952,0.486,254772.0,0.618,0.169,124.19,4.0,0.964,10.0,0.00722,0.239,-8.685,1.0,1.0,,,,,,,,,,,,,,,,,,
Jhoomka Gira Re,5oSP4LFKkhYZ2NbxpZXMlm,https://open.spotify.com/track/5oSP4LFKkhYZ2NbxpZXMlm,https://i.scdn.co/image/ab67616d0000b273eb60b5f01f83c505e347b18b,Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,https://open.spotify.com/artist/5as8A4G47Ohu9NSWs3Je8U,0.901,0.6,296826.0,0.788,0.159,93.154,4.0,0.964,8.0,0.000188,0.812,-4.92,1.0,,,,,,,,,,,,,,,1.0,,,,
"Muqabla (From ""Street Dancer 3D"")",28veUNu4veN0LOBVa0nFw8,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8,https://i.scdn.co/image/ab67616d0000b273f57f022d8751d518b3dc5f40,Yash Narvekar,4RlnRVxKm3jnUzOP4czbIK,https://open.spotify.com/artist/4RlnRVxKm3jnUzOP4czbIK,0.0248,0.804,176125.0,0.913,0.0933,119.993,4.0,0.544,0.0,2.84e-05,0.391,-3.135,1.0,,1.0,,,,,,,,,,,,,,,,,
"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2ibipg9GBEZ5YKOdskobJZ,https://open.spotify.com/track/2ibipg9GBEZ5YKOdskobJZ,https://i.scdn.co/image/ab67616d0000b2736039b4e6fbd1c21f4b3c582d,Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,https://open.spotify.com/artist/4f7KfxeHq9BiylGmyXepGt,0.131,0.844,188101.0,0.794,0.0475,129.986,4.0,0.67,8.0,0.000274,0.0525,-5.943,1.0,,1.0,,,,,,,,,,,,,,,,,
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",6IR6mzRO60hnMjNoq8rCPE,https://open.spotify.com/track/6IR6mzRO60hnMjNoq8rCPE,https://i.scdn.co/image/ab67616d0000b273a9bdccd7e1b16eb656050b2b,Raghav,5PVSEFUT4Inqu3yEq56Ku9,https://open.spotify.com/artist/5PVSEFUT4Inqu3yEq56Ku9,0.124,0.814,153083.0,0.819,0.0454,96.979,4.0,0.661,2.0,0.000245,0.0496,-3.585,1.0,1.0,,,,,,,,,,,,,,,,,,
Tujh Mein Rab Dikhta Hai - II,4Q3oEhpsDommo2naYhCpAl,https://open.spotify.com/track/4Q3oEhpsDommo2naYhCpAl,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8,Salim–Sulaiman,6ohaQzKaXrobAL8paLSaxq,https://open.spotify.com/artist/6ohaQzKaXrobAL8paLSaxq,0.863,0.334,101799.0,0.3,0.0377,147.076,4.0,0.158,2.0,1.62e-06,0.195,-12.359,0.0,1.0,,,,,,,,,,,,,,,,,,
Mere Mehboob Mere Sanam,77QP3sduboWcEh7aypoz66,https://open.spotify.com/track/77QP3sduboWcEh7aypoz66,https://i.scdn.co/image/ab67616d0000b273363a2e444d41091dd3a95064,Udit Narayan,70B80Lwx2sxti0M1Ng9e8K,https://open.spotify.com/artist/70B80Lwx2sxti0M1Ng9e8K,0.0249,0.743,419498.0,0.657,0.0891,114.622,4.0,0.807,2.0,0.0,0.262,-12.929,1.0,,1.0,,,,,,,,,,,,,,,,,
Asalaam-e-Ishqum,7gw6rSstVq9CmuQAaZhWm8,https://open.spotify.com/track/7gw6rSstVq9CmuQAaZhWm8,https://i.scdn.co/image/ab67616d0000b273e9c00ca1d7085a7ea56e2337,Sohail Sen,1bTROl5p3rGTpvKeWnGgrw,https://open.spotify.com/artist/1bTROl5p3rGTpvKeWnGgrw,0.0605,0.765,278988.0,0.908,0.052,106.993,4.0,0.891,6.0,3.23e-06,0.233,-5.043,0.0,,1.0,,,,,,,,,,,,,,,,,
"Lutt Putt Gaya (From ""Dunki"")",72Z2D7jpKevicRkyL45mbw,https://open.spotify.com/track/72Z2D7jpKevicRkyL45mbw,https://i.scdn.co/image/ab67616d0000b2731a2e85cf59d754808254425f,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.465,0.655,222998.0,0.803,0.179,90.973,4.0,0.651,9.0,4.29e-05,0.0499,-7.472,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,
"O Maahi (From ""Dunki"")",0qQ4IdhjzNr0gJhdMTf2n3,https://open.spotify.com/track/0qQ4IdhjzNr0gJhdMTf2n3,https://i.scdn.co/image/ab67616d0000b2737506d87e6489c5a93c042523,Pritam,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,0.562,0.616,233453.0,0.669,0.0349,116.973,4.0,0.475,1.0,0.0,0.177,-6.836,1.0,1.0,,,,,,,,,,,,,,,,,,
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",0M0ANKNzmM4Odd7FNKghzW,https://open.spotify.com/track/0M0ANKNzmM4Odd7FNKghzW,https://i.scdn.co/image/ab67616d0000b27352e3a807b72281cb40c08092,Mitraz,3iGhlvzpXc0UHBQ7klAItX,https://open.spotify.com/artist/3iGhlvzpXc0UHBQ7klAItX,0.358,0.763,171147.0,0.587,0.0381,106.977,4.0,0.794,8.0,6.03e-06,0.13,-8.299,0.0,1.0,,,,,,,,,,,,,,,,,,
